lat_lon,county
48.0242.-99.8699,PIERCE

47.9914.-98.9917,BENSON

47.9786.-98.8997,BENSON

47.9292.-98.8668,BENSON

48.0111.-98.9254,RAMSEY

47.9528.-98.8456,BENSON

47.9942.-98.9644,BENSON

45.9792.-100.7449,SIOUX

47.9478.-98.86,BENSON

47.9389.-98.7893,BENSON

47.9786.-99.0457,BENSON

47.9917.-98.9046,BENSON

47.9825.-98.9803,BENSON

48.8375.-99.5743,ROLETTE

48.8633.-99.9197,ROLETTE

48.9167.-100.9421,BOTTINEAU

47.9083.-98.8129,BENSON

46.195.-100.9386,SIOUX

48.8714.-100.0379,ROLETTE

48.8328.-99.6942,ROLETTE

47.9761.-98.9929,BENSON

48.8297.-99.7504,ROLETTE

47.9917.-98.9962,BENSON

47.980081.-98.883053,BENSON

47.9944.-98.8754,BENSON

48.8197.-99.9593,ROLETTE

46.0383.-100.6733,SIOUX

47.975.-99.0379,BENSON

47.9917.-102.4994,MOUNTRAIL

46.0461.-101.0714,SIOUX

47.9681.-98.864,BENSON

46.0961.-100.6376,SIOUX

46.0936.-100.6336,SIOUX

48.8583.-99.7318,ROLETTE

46.1.-100.7171,SIOUX

48.8455.-99.7305,ROLETTE

47.98.-98.8672,BENSON

47.9775.-99.0137,BENSON

48.8655.-99.9828,ROLETTE

48.825.-99.7897,ROLETTE

48.0294.-98.8458,BENSON

48.8572.-99.7239,ROLETTE

47.9806.-98.9233,BENSON

47.7317.-102.7181,MCKENZIE

48.8253.-99.7244,ROLETTE

48.8478.-99.9837,ROLETTE

47.9878.-98.8842,BENSON

47.9917.-98.9879,BENSON

46.0917.-100.6456,SIOUX

46.0911.-100.6525,SIOUX

48.8786.-99.7468,ROLETTE

48.0292.-98.8421,BENSON

48.8578.-99.8558,ROLETTE

46.1264.-100.6503,SIOUX

48.8378.-99.7463,ROLETTE

47.9917.-98.0087,NELSON

46.0892.-100.6926,SIOUX

46.36056.-100.57722,SIOUX

46.0645.-97.1043,RICHLAND

47.9878.-98.8769,BENSON

48.8631.-99.7176,ROLETTE

48.8347.-99.0371,TOWNER

47.9133.-99.1269,BENSON

47.9922.-98.9731,BENSON

47.9853.-99.0453,BENSON

46.87611111.-103.43416667,BILLINGS

47.9797.-98.9992,BENSON

47.9889.-99.0087,BENSON

47.6603.-101.3539,MCLEAN

46.2669.-100.7114,SIOUX

47.9875.-98.9992,BENSON

47.9808.-99.0019,BENSON

47.8389.-102.5986,MOUNTRAIL

47.6533.-102.0775,MCLEAN

47.9844.-98.8768,BENSON

47.9689.-99.0297,BENSON

48.0.-102.5005,MOUNTRAIL

46.2497.-100.7736,SIOUX

48.8194.-99.7221,ROLETTE

47.7306.-102.6758,MCKENZIE

47.9953.-98.9092,BENSON

47.9844.-98.8683,BENSON

48.8681.-100.0294,ROLETTE

48.8361.-99.8962,ROLETTE

48.8586.-99.7696,ROLETTE

48.8469.-99.6629,ROLETTE

48.8125.-99.8949,ROLETTE

48.8736.-100.0185,ROLETTE

46.1081.-100.6432,SIOUX

48.8447.-99.7713,ROLETTE

47.9861.-98.9004,BENSON

47.9875.-98.8698,BENSON

47.9611.-99.0503,BENSON

48.8786.-99.9953,ROLETTE

46.3117.-100.4321,MORTON

47.9931.-99.0478,BENSON

47.9811.-99.12,BENSON

47.9497.-99.0768,BENSON

46.0892.-100.6317,SIOUX

48.8356.-99.8899,ROLETTE

47.9292.-98.8168,BENSON

47.9803.-99.0835,BENSON

48.0025.-98.8843,BENSON

46.1047.-100.6362,SIOUX

48.8519.-99.7415,ROLETTE

46.78972222.-103.40027778,BILLINGS

47.9892.-98.8778,BENSON

47.9917.-98.8546,BENSON

47.9628.-98.854,BENSON

48.81.-100.0367,ROLETTE

46.88805556.-103.36638889,BILLINGS

47.9889.-98.8921,BENSON

47.9781.-98.8747,BENSON

47.9078.-98.8453,BENSON

47.9806.-98.9212,BENSON

48.835.-99.7801,ROLETTE

47.7456.-102.5672,DUNN

47.9997.-102.2781,MOUNTRAIL

48.8508.-99.7926,ROLETTE

47.9461.-102.2447,MOUNTRAIL

47.9708.-99.0962,BENSON

47.9833.-99.0171,BENSON

48.8931.-99.899,ROLETTE

48.9353.-99.7514,ROLETTE

46.1333.-100.6671,SIOUX

47.59805556.-103.6375,MCKENZIE

47.7894.-102.6622,MCKENZIE

47.9775.-98.9075,BENSON

48.8458.-100.0093,ROLETTE

47.9889.-98.8754,BENSON

47.9042.-98.8334,BENSON

47.9958.-98.8754,BENSON

47.9803.-99.0014,BENSON

46.09.-100.6546,SIOUX

48.0292.-99.0004,RAMSEY

48.8486.-99.7657,ROLETTE

